DATEPRD,BORE_OIL_VOL
22-07-2009,3721.03
23-07-2009,3682.11
24-07-2009,3689.01
25-07-2009,3737.42
26-07-2009,3718.65
27-07-2009,3704.42
28-07-2009,3734.37
29-07-2009,3741.77
30-07-2009,3755.47
31-07-2009,3692.52
01-08-2009,3691.35
02-08-2009,1632.31
04-08-2009,11.98
05-08-2009,4407.16
06-08-2009,4663.07
07-08-2009,4360.71
08-08-2009,2424.2
09-08-2009,4366.57
10-08-2009,4437.79
11-08-2009,4445.56
12-08-2009,4594.22
13-08-2009,4549.48
14-08-2009,4638.62
15-08-2009,4721.86
16-08-2009,4767.4
17-08-2009,4783.38
18-08-2009,4779.42
19-08-2009,4795.27
20-08-2009,4800.54
21-08-2009,4793.55
22-08-2009,4795.4
23-08-2009,4788.33
24-08-2009,4817.27
25-08-2009,4950.96
26-08-2009,2665.86
27-08-2009,3733.66
28-08-2009,4689.98
29-08-2009,308.37
30-08-2009,0
31-08-2009,0
02-09-2009,0
03-09-2009,0
04-09-2009,0
05-09-2009,1278.61
06-09-2009,2441.38
07-09-2009,5053.84
08-09-2009,4573.77
09-09-2009,4354.63
10-09-2009,4340.51
11-09-2009,4393.44
12-09-2009,4477.04
13-09-2009,4489.88
14-09-2009,4464.08
15-09-2009,4526.12
16-09-2009,4512.23
17-09-2009,4464.89
18-09-2009,4492.25
19-09-2009,4154.3
20-09-2009,3305.88
21-09-2009,4206.64
22-09-2009,4199.23
23-09-2009,4322.81
24-09-2009,4684.69
25-09-2009,5057.91
26-09-2009,2272.73
27-09-2009,32.03
28-09-2009,0
29-09-2009,0
30-09-2009,0
01-10-2009,3565.94
02-10-2009,4883.02
03-10-2009,5037.57
04-10-2009,5032.99
05-10-2009,5072.51
06-10-2009,4326.83
07-10-2009,4616.27
08-10-2009,4545.12
09-10-2009,4420.65
10-10-2009,4441.14
11-10-2009,4426.34
12-10-2009,4454.14
13-10-2009,3766.37
14-10-2009,4257.96
15-10-2009,3550.58
16-10-2009,4728.63
17-10-2009,1377.02
18-10-2009,4118.7
19-10-2009,4334.82
20-10-2009,4339.02
21-10-2009,4333.24
22-10-2009,4324.32
23-10-2009,1587.3
24-10-2009,167.17
25-10-2009,4190.37
26-10-2009,4306.5
27-10-2009,4313.37
28-10-2009,4348.44
29-10-2009,4274.9
30-10-2009,4957.61
31-10-2009,4840.81
01-11-2009,4852.06
02-11-2009,4829.38
03-11-2009,4817.07
04-11-2009,3153.99
05-11-2009,4434.99
06-11-2009,4403.93
07-11-2009,4448
08-11-2009,4470.57
09-11-2009,4089.83
10-11-2009,4245.19
11-11-2009,4401.54
12-11-2009,4408.51
13-11-2009,4378.76
14-11-2009,4413.39
15-11-2009,4446.8
16-11-2009,4517.33
17-11-2009,4724.62
18-11-2009,4874.86
19-11-2009,4842.29
20-11-2009,4004.63
21-11-2009,4846.82
22-11-2009,4840.84
23-11-2009,3930.03
24-11-2009,4126.56
25-11-2009,4837.35
26-11-2009,4880.73
27-11-2009,4864.71
28-11-2009,4855.39
29-11-2009,5013.4
30-11-2009,5062.11
01-12-2009,5031.44
02-12-2009,5047.98
03-12-2009,5043.73
04-12-2009,5485.34
05-12-2009,5189.7
06-12-2009,5303.4
07-12-2009,5467.62
08-12-2009,5604.33
09-12-2009,5601.13
10-12-2009,5549.21
11-12-2009,5480.45
12-12-2009,5465.07
13-12-2009,5049.73
14-12-2009,5380.51
15-12-2009,5366.63
16-12-2009,5358.32
17-12-2009,5017.66
18-12-2009,2516.72
19-12-2009,3377.75
20-12-2009,4228.61
21-12-2009,5347.19
22-12-2009,5355.93
23-12-2009,5153.65
24-12-2009,5063.78
25-12-2009,5164.96
26-12-2009,5148.7
27-12-2009,5098.58
28-12-2009,5298.31
29-12-2009,5281.46
30-12-2009,5280.42
31-12-2009,5243.21
01-01-2010,5261.93
02-01-2010,5256.37
03-01-2010,5227.61
04-01-2010,5199.02
05-01-2010,5206.38
06-01-2010,5200.27
07-01-2010,5189.62
08-01-2010,5185.95
09-01-2010,4034.53
10-01-2010,5140.65
11-01-2010,5157.86
12-01-2010,5161.22
13-01-2010,5136.39
14-01-2010,5092
15-01-2010,5033.93
16-01-2010,4979.19
17-01-2010,4905.73
18-01-2010,4689.19
19-01-2010,4647.39
20-01-2010,4628.38
21-01-2010,4586.62
22-01-2010,4563.26
23-01-2010,4010.69
24-01-2010,4441.06
25-01-2010,4596.67
26-01-2010,3953.58
27-01-2010,4419.93
28-01-2010,4625.59
29-01-2010,4705.52
30-01-2010,4720.13
31-01-2010,4702.17
01-02-2010,4673.25
02-02-2010,4544.83
03-02-2010,4285.02
04-02-2010,4111.36
05-02-2010,4257.01
06-02-2010,4234.42
07-02-2010,4140.35
08-02-2010,4326.64
09-02-2010,4300.52
10-02-2010,4248.97
11-02-2010,4106.17
12-02-2010,3815.94
13-02-2010,3737.49
14-02-2010,2111.37
15-02-2010,2059.14
16-02-2010,4108.39
17-02-2010,4040.4
18-02-2010,3211.46
19-02-2010,4027.02
20-02-2010,3945.82
21-02-2010,4037.43
22-02-2010,3994.39
23-02-2010,3461.1
24-02-2010,3991.13
25-02-2010,3287.55
26-02-2010,2860.87
27-02-2010,3107.96
02-03-2010,0
03-03-2010,3466.01
04-03-2010,4144.87
05-03-2010,4025.56
06-03-2010,3444.62
08-03-2010,2405.72
09-03-2010,4344.86
10-03-2010,4258.59
11-03-2010,3500.93
12-03-2010,2540.89
13-03-2010,3716.44
14-03-2010,3801.87
15-03-2010,3860.92
16-03-2010,3717.81
17-03-2010,3831.2
18-03-2010,3926.86
19-03-2010,3887.46
20-03-2010,3848.11
21-03-2010,3827.75
22-03-2010,3454.15
23-03-2010,3413.36
24-03-2010,3405.79
25-03-2010,3426.37
26-03-2010,3524.65
27-03-2010,3587.86
28-03-2010,3510.63
29-03-2010,3739.71
30-03-2010,3473.56
31-03-2010,3485.06
01-04-2010,786.82
02-04-2010,3407.69
03-04-2010,3186.88
04-04-2010,3495.15
05-04-2010,3428.88
06-04-2010,3342.4
07-04-2010,3330.01
08-04-2010,3198.19
09-04-2010,3170.37
10-04-2010,3148.09
11-04-2010,3124.35
12-04-2010,3107.58
13-04-2010,3100.02
14-04-2010,3215.36
15-04-2010,3220.01
16-04-2010,3258.75
17-04-2010,2865.27
18-04-2010,3150.88
19-04-2010,3190.98
20-04-2010,3403.93
21-04-2010,2968.51
22-04-2010,2949.86
23-04-2010,2903.27
24-04-2010,2516.03
25-04-2010,2154.23
26-04-2010,1635.39
27-04-2010,2507.96
28-04-2010,1793.49
29-04-2010,2119.15
30-04-2010,2574.11
01-05-2010,2587.54
02-05-2010,2641.29
03-05-2010,2658.88
04-05-2010,1522.51
05-05-2010,2573.93
06-05-2010,2530.85
07-05-2010,2493.99
08-05-2010,2482.15
09-05-2010,2474.84
10-05-2010,2766.03
11-05-2010,2748.61
12-05-2010,2712.34
13-05-2010,2666.04
14-05-2010,2701.72
15-05-2010,2696.78
16-05-2010,2685.18
17-05-2010,2669.66
18-05-2010,2640.27
19-05-2010,2573.72
20-05-2010,2549.16
21-05-2010,2520.76
22-05-2010,2503.59
23-05-2010,2500.34
24-05-2010,2496.19
25-05-2010,2483.03
26-05-2010,2475.77
27-05-2010,2420.87
28-05-2010,2013.37
29-05-2010,2455.94
30-05-2010,2345.76
31-05-2010,1522.45
01-06-2010,1812.37
02-06-2010,2421.43
03-06-2010,2404.05
04-06-2010,2384.74
05-06-2010,2349.81
06-06-2010,2343.56
07-06-2010,2380.74
08-06-2010,2384.64
09-06-2010,2381.92
10-06-2010,2377.7
11-06-2010,2420.55
12-06-2010,2408.2
13-06-2010,2434.38
14-06-2010,2391.83
15-06-2010,2383.61
16-06-2010,2353.23
17-06-2010,2377.86
18-06-2010,2370.38
19-06-2010,1944.86
20-06-2010,2342.72
21-06-2010,2347.6
22-06-2010,2329.46
23-06-2010,2314.21
24-06-2010,2312.64
25-06-2010,2284.2
26-06-2010,2281.66
27-06-2010,2277.83
28-06-2010,2271.85
29-06-2010,2266.84
30-06-2010,2262.5
01-07-2010,2254.67
02-07-2010,2257.16
03-07-2010,2574.63
